Batch_ID,Batch_Name,Date_Of_Creation,Date_Of_Modification,Is_Delete
1,Super Morning- 19 PCB,26/12/2017 12:10:10 PM,31/12/2017 9:50:34 AM,False
2,Morning - 19 PCB,26/12/2017 12:10:21 PM,31/12/2017 9:51:01 AM,False
3,Super Night - 19 PCB,26/12/2017 12:11:26 PM,31/12/2017 9:51:21 AM,False
4,Vijeeta-Rep 18,26/12/2017 12:11:53 PM,31/12/2017 9:52:07 AM,False
5,Doctor-Rep-18,26/12/2017 12:12:19 PM,31/12/2017 9:52:16 AM,False
6,All Batch PCM - 19,31/12/2017 9:53:32 AM,31/12/2017 9:53:32 AM,False
